,数字,红1,红2,红3,红4,红5,红6,蓝
0,1,514,0,0,0,0,0,170
1,2,402,76,0,0,0,0,153
2,3,333,130,9,0,0,0,162
3,4,277,164,28,0,0,0,153
4,5,224,191,51,4,0,0,155
5,6,181,224,69,15,0,0,159
6,7,144,231,103,9,1,0,170
7,8,118,212,126,28,5,0,145
8,9,117,185,127,35,2,0,174
9,10,70,181,157,55,10,0,155
10,11,57,152,172,71,10,1,170
11,12,49,161,167,82,13,0,181
12,13,35,142,172,102,25,0,155
13,14,25,135,196,125,35,1,168
14,15,23,92,163,126,44,5,160
15,16,15,86,162,142,51,9,174
16,17,5,68,148,183,74,12,0
17,18,4,56,148,165,96,19,0
18,19,3,35,131,167,118,24,0
19,20,2,26,122,194,122,29,0
20,21,4,25,97,157,138,39,0
21,22,1,17,81,193,151,62,0
22,23,0,7,53,170,160,62,0
23,24,1,3,45,125,173,86,0
24,25,0,2,30,111,208,106,0
25,26,0,2,18,122,225,139,0
26,27,0,0,19,84,219,163,0
27,28,0,1,7,61,194,167,0
28,29,0,0,2,43,157,250,0
29,30,0,0,1,23,169,283,0
30,31,0,0,0,12,117,322,0
31,32,0,0,0,0,87,413,0
32,33,0,0,0,0,0,412,0
